House Name,House Price,House Location,House Info,House Link
5 Marla Luxury House For Sale,"21,000,000","Bismillah Housing Scheme, Lahore•",455 Marla,https://www.olx.com.pk/item/5-marla-luxury-house-for-sale-iid-1099877940
11 Marla Corner 2.5 Story House For Sale At Prime Location,"42,500,000","Sabzazar Scheme - Block N, Lahore•",6+611 Marla,https://www.olx.com.pk/item/11-marla-corner-25-story-house-for-sale-at-prime-location-iid-1099628625
Cattle farm family farm,"2,000,000","Gadap Town, Karachi•","Studio11,000 SQYD",https://www.olx.com.pk/item/cattle-farm-family-farm-iid-1100743551
2.5 Marla House Best For INVESTMENT,"4,500,000","Adiala Road, Rawalpindi•",12550 SQFT,https://www.olx.com.pk/item/25-marla-house-best-for-investment-iid-1100554258
5 Marla 1.5 Storey House Janjua Town,"12,000,000","Adiala Road, Rawalpindi•",225 Marla,https://www.olx.com.pk/item/5-marla-15-storey-house-janjua-town-iid-1100662492
5 Marla Double Storey Near Askari 14,"20,000,000","Adiala Road, Rawalpindi•",465 Marla,https://www.olx.com.pk/item/5-marla-double-storey-near-askari-14-iid-1100602407
5 Marla 1.5 Storey Ideal And Near To Road,"11,500,000","Adiala Road, Rawalpindi•",345 Marla,https://www.olx.com.pk/item/5-marla-15-storey-ideal-and-near-to-road-iid-1100575388
3.25 Marla double story house for sale,"11,000,000","Adiala Road, Rawalpindi•",443 Marla,https://www.olx.com.pk/item/325-marla-double-story-house-for-sale-iid-1100522899
Precinct 15 Single Story House in Installment Best location in Bahria town karachi,"9,000,000","Bahria Town - Precinct 15, Karachi•",34125 SQYD,https://www.olx.com.pk/item/precinct-15-single-story-house-in-installment-best-location-in-bahria-town-karachi-iid-1100882918
D H A Lahore 2 Kanal Brand New Faisal Rasool Stylish House And Full Furnished With 100% Original Pics Available For Sale,"210,000,000","DHA Phase 2, Lahore•",6+640 Marla,https://www.olx.com.pk/item/d-h-a-lahore-2-kanal-brand-new-faisal-rasool-stylish-house-and-full-furnished-with-100-original-pics-available-for-sale-iid-1099887222
Brand New Zero Meter House Ground Plus 1 Kda Lease 24 Hours Sweet Water And Electricity Good Location Near Main Road,"14,800,000","North Karachi, Karachi•",4680 SQYD,https://www.olx.com.pk/item/brand-new-zero-meter-house-ground-plus-1-kda-lease-24-hours-sweet-water-and-electricity-good-location-near-main-road-iid-1100883215
Brand New Zero Meter House Ground Plus 1 Full Marble Tiles Flooring Bottom To Top Roof Excellent Work North Karachi Sector 5A-3,"14,800,000","North Karachi, Karachi•",4680 SQYD,https://www.olx.com.pk/item/brand-new-zero-meter-house-ground-plus-1-full-marble-tiles-flooring-bottom-to-top-roof-excellent-work-north-karachi-sector-5a-3-iid-1100883208
House Ground Plus 2 West Open Next To Main Road First Street Excellent Condition North Karachi Sector 8,"19,500,000","North Karachi, Karachi•",46120 SQYD,https://www.olx.com.pk/item/house-ground-plus-2-west-open-next-to-main-road-first-street-excellent-condition-north-karachi-sector-8-iid-1100883206
House Old Construction 150 Feet Road Facing,"18,800,000","North Karachi - Sector 5-C/1, Karachi•","461,080 SQYD",https://www.olx.com.pk/item/house-old-construction-150-feet-road-facing-iid-1100883203
6 Marla Beautiful Brand New House For Sale In Sabre Block,"15,000,000","Fazaia Housing Scheme, Gujranwala•",336 Marla,https://www.olx.com.pk/item/6-marla-beautiful-brand-new-house-for-sale-in-sabre-block-iid-1100883142
5 Marla Double Store House Available For Sale At Sabzazar Lahore Most Beautiful House Prime Location,"24,500,000","Sabzazar, Lahore•",555 Marla,https://www.olx.com.pk/item/5-marla-double-store-house-available-for-sale-at-sabzazar-lahore-most-beautiful-house-prime-location-iid-1100883076
3 Marla Cornor House For Sale,"13,000,000","Al Hamra Town, Lahore•",333 Marla,https://www.olx.com.pk/item/3-marla-cornor-house-for-sale-iid-1100664935
13 Marla Luxury house available for sale in wapda Town peshawar,"37,000,000","Wapda Town Sector M, Peshawar•",6+7+13 Marla,https://www.olx.com.pk/item/13-marla-luxury-house-available-for-sale-in-wapda-town-peshawar-iid-1100786721
120 Sq Yd Bungalow Available In Saadi Town & Saadi Garden Karachi,"18,500,000","Saadi Town, Karachi•",45120 SQYD,https://www.olx.com.pk/item/120-sq-yd-bungalow-available-in-saadi-town-saadi-garden-karachi-iid-1099967663
6.5 Marla Corner House For Sale Facing Park,"39,500,000","Allama Iqbal Town, Lahore•",556 Marla,https://www.olx.com.pk/item/65-marla-corner-house-for-sale-facing-park-iid-1100059658
